price_1,price_2,price_3,price_4,price_5,price_6,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,choice
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,0,0,1,6
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,1,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,0,4
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,0,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,0,1,0,0,0,0
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,0,1,1,2
7.76,7.7,4.43,4.18,3.36,1.8,0,0,1,1,0,1,4
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,0,4
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,0,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,0,4
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,1,1,1,0
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,1,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,1,0,4
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,1,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,0,1,0,0
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,0,1,0
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,0,0,0,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,0,1,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,1,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,1,1,1,0
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,1,1,1
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,0,0,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,1,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,1,0
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,1,1,4
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,1,0,1,4
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,0,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,1,0,0,0,1
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,0,0,0,1
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,1,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,1,1,1,6
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,0,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,0,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,0,1,0,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,0,1,1,6
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,1,6
7.76,7.7,4.43,4.18,3.36,1.8,1,0,1,0,1,1,1
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,0,1,4
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,0,0
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,0,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,0,1,1,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,0,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,1,0,1,6
7.76,7.7,4.43,4.18,3.36,1.8,0,0,1,1,0,0,3
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,1,0,1
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,1,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,0,1,4
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,0,0,4
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,1,6
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,0,0,2
7.76,7.7,4.43,4.18,3.36,1.8,0,0,1,1,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,1,0,0,0
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,1,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,1,1,1,0,1,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,1,0,5
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,1,1,6
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,1,0,2
7.76,7.7,4.43,4.18,3.36,1.8,1,0,0,1,0,1,1
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,1,1,0,4
7.76,7.7,4.43,4.18,3.36,1.8,0,1,0,1,1,1,2
7.76,7.7,4.43,4.18,3.36,1.8,0,1,1,1,0,1,2
7.76,7.7,4.43,4.18,3.36,1.8,0,0,0,0,0,1,6
