price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,choice
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,1,0,1,0,0,0,1,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,0,1,1,0,1,1,0,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,1,0,0,0,1,1,1,1,8
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,1,0,1,0,0,1,0,1,10
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,0,0,1,1,1,0,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,1,0,0,0,0,1,1,0,9
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,1,0,1,1,0,0,1,1,9
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,0,1,0,0,0,1,0,5
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,0,1,0,0,1,0,0,1,1
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,0,0,0,0,1,1,0,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,1,1,0,1,1,1,1,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,1,1,0,0,0,0,0,0,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,1,1,0,0,1,0,1,1,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,0,0,1,0,1,1,0,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,0,0,1,1,0,1,1,2
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,0,0,1,1,0,1,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,0,0,1,1,1,1,0,0,5
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,1,0,1,1,0,0,0,0,2
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,1,1,0,1,0,0,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,1,0,0,0,1,0,1,0,0
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,1,0,1,0,1,0,0,8
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,1,0,1,1,0,0,1,1,1
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,1,0,0,0,0,1,0,0,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,1,0,0,1,0,1,1,4
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,0,1,0,0,1,0,0,1,10
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,0,1,0,1,0,1,1,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,0,0,0,0,1,1,1,8
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,1,0,1,0,1,0,1,0,5
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,1,1,0,1,1,0,0,1,1,3
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,1,0,1,1,1,0,1,0,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,0,1,1,0,1,1,1,0,1,7
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,0,0,0,1,0,1,1,0,8
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,1,1,0,0,1,1,0,0,1,0,0
9.16,8.82,7.49,5.73,5.42,4.35,3.47,2.72,2.02,1.55,0,0,0,0,0,0,1,0,1,0,7
