price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,offered_11,offered_12,offered_13,offered_14,offered_15,offered_16,offered_17,offered_18,offered_19,offered_20,choice
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,14
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,16
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,18
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,19
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,18
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,7
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,2
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,11
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,7
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,7
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,19
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,14
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,11
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,19
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,11
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,14
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,11
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,15
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,2
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,7
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,7
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,13
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,12
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,18
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,17
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,17
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,17
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,8
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,14
9.89,9.45,9.21,9.2,9.01,8.96,8.67,8.59,8.47,8.39,8.02,7.94,6.99,6.85,5.95,5.88,3.33,3.21,3.06,2.01,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,18
